$i$   $I,~\m\A$   $U,~\V$   $\mathscr{E},~\mk\V$
1     77.17       2.682     72
1     99.83       3.470     103
1     123.14      4.282     149
1     141.25      4.914     200
1     160.09      5.571     263
1     177.02      6.163     322
1     183.83      6.401     354

2     49.23       1.714     52
2     80.01       2.788     126
2     99.19       3.457     192
2     112.75      3.931     253
2     124.49      4.342     322
2     131.72      4.594     364
2     138.06      4.817     412

3     78.72       2.736     77
3     94.66       3.291     107
3     110.19      3.832     145
3     120.73      4.200     176
3     133.74      4.653     214
3     147.03      5.117     260
3     160.87      5.601     314
3     173.63      6.047     363

